Code,Automobile,MPG,CYL,DISP,HP,DRAT,WT,ACCEL,ENGTYPE
A,Buick Estate Wagon,16.9,8,350,155,2.73,4.360,14.9,1
B,Ford Country Sq. Wagon,15.5,8,351,142,2.26,4.054,14.3,1
C,Chevy Malibu Wagon,19.2,8,267,125,2.56,3.605,15.0,1
D,Chrys. Lebaron Wagon,18.5,8,360,150,2.45,3.940,13.0,1
E,Chevette,30.0,4,98,68,3.70,2.155,16.5,0
F,Toyota Corona,27.5,4,134,95,3.05,2.560,14.2,0
G,Datsun 510,27.2,4,119,97,3.54,2.300,14.7,0
H,Dodge Omni,30.9,4,105,75,3.37,2.230,14.5,0
I,Audi 5000,20.3,5,131,103,3.90,2.830,15.9,0
J,Volvo 240 GL,17.0,6,163,125,3.50,3.140,13.6,0
K,Saab 99 GLE,21.6,4,121,115,3.77,2.795,15.7,0
L,Peugeot 694 SL,16.2,6,163,133,3.58,3.410,15.8,0
M,Buick Century Spec.,20.6,6,231,105,2.73,3.380,15.8,0
N,Mercury Zephyr,20.8,6,200,85,3.08,3.070,16.7,0
O,Dodge Aspen,18.6,6,225,110,2.71,3.620,18.7,0
P,AMC Concord D/L,18.1,6,258,120,2.73,3.410,15.1,0
Q,Chevy Caprice Classic,17.0,8,305,130,2.41,3.840,15.4,1
R,Ford LTD,17.6,8,302,129,2.26,3.725,13.4,1
S,Mercury Grand Marquis,16.5,8,351,138,2.26,3.955,13.2,1
T,Dodge St Regis,18.2,8,318,135,2.45,3.830,15.2,1
U,Ford Mustang 4,26.5,4,140,88,3.08,2.585,14.4,0
V,Ford Mustang Ghia,21.9,6,171,109,3.08,2.910,16.6,1
W,Mazda GLC,34.1,4,86,65,3.73,1.975,15.2,0
X,Dodge Colt,35.1,4,98,80,2.97,1.915,14.4,0
Y,AMC Spirit,27.4,4,121,80,3.08,2.670,15.0,0
Z,VVV Scirocco,31.5,4,89,71,3.78,1.990,14.9,0
A,Honda Accord LX,29.5,4,98,68,3.05,2.135,16.6,0
B,Buick Skylark,28.4,4,151,90,2.53,2.670,16.0,0
C,Chevy Citation,28.8,6,173,115,2.69,2.595,11.3,1
D,Olds Omega,26.8,6,173,115,2.84,2.700,12.9,1
E,Pontiac Phoenix,33.5,4,151,90,2.69,2.556,13.2,0
F,Plymouth Horizon,34.2,4,105,70,3.37,2.200,13.2,0
G,Datsun 210,31.8,4,85,65,3.70,2.020,19.2,0
H,Fiat Strada,37.3,4,91,69,3.10,2.130,14.7,0
I,VW Dasher,30.5,4,97,78,3.70,2.190,14.1,0
J,Datsun 810,22.0,6,146,97,3.70,2.815,14.5,0
K,BMW 320i,21.5,4,121,110,3.64,2.600,12.8,0
L, VW Rabbit,31.9,4,89,71,3.78,1.925,14.0,0
